species,location,lifestage,drawdown rate_cm/d,50 day survival,42 day survial (mean number out of 15),medium survival_days,root growth rate_survived_mm/day,root growth rate_died_mm/day,mean depth to watertable (m),citation
sexigua,CA Central Valley,seedling,9,NA,NA,NA,NA,NA,,"Stella, J. C., Battles, J., & McBride, J. (2006). Restoring recruitment processes for riparian cottonwoods and willows: a field-calibrated predictive model for the lower San Joaquin Basin. University of California, Berkeley. Retrieved from http://www.esf.edu/fnrm/stella/website_pubs/SWS_06_CVRrpt.pdf table 4-1, table 4-3"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,0,,9,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,1,,11,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,2,,8,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,3,,4,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,4,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
Pbalsamifera,"sw Alberta and se British Columbia, Canada",seed ,8,,1,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,0,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,1,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,2,,2,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,3,,4,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,4,,1,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
pdeltoides,"sw Alberta and se British Columbia, Canada",seed ,8,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,0,,1,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,1,,1,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,2,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,3,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,4,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sexigua,"sw Alberta and se British Columbia, Canada",seed ,8,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,0,,8,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,1,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,2,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,3,,3,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,4,,1,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
slutea,"sw Alberta and se British Columbia, Canada",seed ,8,,0,,,,,"Amlin, N. M., & Rood, S. B. (2002). Comparative tolerances of riparian willows and cottonwoods to water-table decline. Wetlands, 22(2), 338–346. https://doi.org/10.1672/0277-5212(2002)022[0338:CTORWA]2.0.CO;2 figure 4"
sgooddingii,Arizona,seedling,0,0.92,1,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
sgooddingii,Arizona,seedling,1,0.8,0.9,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
sgooddingii,Arizona,seedling,2,0.6,0.73,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
sgooddingii,Arizona,seedling,4,0.35,0.7,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
achinensis,Arizona,seedling,0,0.95,0.99,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
achinensis,Arizona,seedling,1,0.85,0.95,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
achinensis,Arizona,seedling,2,0.85,0.93,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
achinensis,Arizona,seedling,4,0.85,0.86,,,,,"Horton, J. L., & Clark, J. L. (2001). Water table decline alters growth and survival of Salix gooddingii and Tamarix chinensis seedlings. Forest Ecology and Management, 140(2–3), 239–247. https://doi.org/10.1016/S0378-1127(00)00314-5, figure 2"
sgooddingii,southwestern USA,adult,,,,,,,2,"Stromberg, J. C., & Merritt, D. M. (2016). Riparian plant guilds of ephemeral, intermittent and perennial rivers. Freshwater Biology, 61(8), 1259–1275. https://doi.org/10.1111/fwb.12686 fig 3"
sexigua,southwestern USA,adult,,,,,,,1.5,"Stromberg, J. C., & Merritt, D. M. (2016). Riparian plant guilds of ephemeral, intermittent and perennial rivers. Freshwater Biology, 61(8), 1259–1275. https://doi.org/10.1111/fwb.12686"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Stella et al study: Drawdown rate starts at 10cm below soil surface ie 0 drawdown means water level remains 10cm below surface.,,,,,,,,,,
Amlin sapling study: water level started at 8cm below surface,,,,,,,,,,
Amlin seed study: water level maintained at 5cm below surface,,,,,,,,,,
 *column F - divide by 15 to get the mean proportion surviving so it will be comparable to column E in the other study,,,,,,,,,,
