ID,River,Type,Scour depth (m)1,Easting (m)2,Northing (m)2,Elevation (m)3,Species4,Depth to water table (m),Density (m-1),Height (m),Basal diameter (m),Frontal area (m2),Pullout force (N) ,Break5,Root frontal area (m2),Depth to highest root density (m),Root length (m)6
BWR5.12,BWR,Pull test,0,245629.082,3791614.873,239.233,T,0.07,NA,0.465,0.00814,0.00411,181.3,0,0.00235,0.12,0.405
BWR5.13,BWR,Pull test,0.2,245629.887,3791614.412,239.275,T,0.11,NA,0.745,0.01041,0.01459,208.1,0,NA,NA,0.44
BWR5.14,BWR,Pull test,0,245629.061,3791614.336,239.24,T,0.07,NA,1.07,0.02528,0.02196,744.3,0,0.00510,0.08,0.82
BWR6.1,BWR,Pull test,0,245669.014,3791646.85,239.338,P,-0.03,NA,1.227,0.07065,0.07830,964.1,0,NA,NA,0.585
BWR6.2,BWR,Pull test,0,245668.943,3791647.979,239.328,P,-0.05,NA,1.155,0.06261,0.17117,1726.6,0,NA,NA,0.675
BWR6.3,BWR,Pull test,0,245669.278,3791647.665,239.366,P,-0.5,NA,1.165,0.04146,0.15346,1869.1,0,NA,NA,0.55
BWR6.4,BWR,Pull test,0.2,245670.365,3791646.711,239.366,P,-0.04,NA,1.201,0.02688,0.16149,2029.4,0,NA,NA,0.82
BWR6.5,BWR,Pull test,0.2,245671.135,3791649.334,239.375,P,-0.08,NA,1.125,0.03564,0.07001,523.6,0,NA,NA,0.545
BWR6.6,BWR,Pull test,0,245666.112,3791645.683,239.311,T,-0.04,NA,0.555,0.01391,0.00616,249.0,1,0.00284,0.14,0.465
BWR6.7,BWR,Pull test,0,245665.821,3791645.93,239.329,T,-0.03,NA,0.655,0.03145,0.03218,569.8,1,0.01054,0.15,0.665
BWR6.9,BWR,Pull test,0,245663.667,3791645.938,239.294,T,-0.04,NA,0.965,0.02187,0.02993,330.7,1,NA,NA,0.505
BWR6.11,BWR,Pull test,0,245663.655,3791645.018,239.233,P,-0.1,NA,0.88,0.0154,0.02116,183.8,1,0.01071,0.23,0.21
BWR6.12,BWR,Pull test,0,245667.47,3791641.563,238.927,S,-0.41,NA,1.26,0.0072,0.01440,185.8,1,NA,NA,0.265
BWR6.13,BWR,Pull test,0,245667.607,3791641.557,238.943,T,-0.39,NA,0.975,0.00622,0.02080,216.1,0,NA,NA,0.325
BWR6.14,BWR,Pull test,0,245667.912,3791641.458,239.056,P,-0.28,NA,1.145,0.01291,0.04644,898.0,0,NA,NA,0.355
BWR6.15,BWR,Pull test,0,245667.612,3791641.138,238.971,S,-0.36,NA,1.047,0.01023,0.01979,268.4,0,0.02136,0.3,0.39
BWR6.16,BWR,Pull test,0,245667.574,3791640.356,239.029,P,-0.3,NA,1.56,0.00992,0.04093,372.7,0,NA,NA,0.47
BWR6.17,BWR,Pull test,0,245667.117,3791639.672,238.959,P,-0.36,NA,1.41,0.00959,0.02345,311.1,1,NA,NA,0.255
BWR6.18,BWR,Pull test,0,245666.807,3791639.086,239.029,P,-0.28,NA,1.977,0.0196,0.15725,1792.5,0,NA,NA,0.469
SMR1.1,SMR,Pull test,0,271728.545,3798278.355,364.569,T,0.43,NA,0.612,0.00771,0.14892,782.3,1,NA,NA,0
SMR1.2,SMR,Pull test,0,271728.517,3798278.23,364.505,T,0.37,NA,1.025,0.0136,0.00555,664.4,1,NA,NA,0.23
SMR1.3,SMR,Pull test,0,271729.168,3798278.689,364.477,T,0.34,NA,1.81,0.03332,0.07931,2302.9,1,NA,NA,0.52
SMR1.4,SMR,Pull test,0,271729.272,3798278.425,364.579,T,0.44,NA,1.035,0.01567,0.01013,890.2,1,NA,NA,0.4
SMR1.5,SMR,Pull test,0,271729.374,3798278.428,364.511,T,0.37,NA,1.08,0.01568,0.03427,985.1,0,NA,NA,0.332
SMR1.6,SMR,Pull test,0,271726.781,3798278.152,364.519,P,0.37,NA,0.83,0.00727,0.01008,482.9,1,NA,NA,0.048
SMR1.7,SMR,Pull test,0,271726.928,3798278.104,364.494,P,0.35,NA,1.55,0.01529,0.03403,1212.1,1,NA,NA,0.332
SMR2.1,SMR,Pull test,0,271536.41,3798405.764,363.909,P,0.74,NA,1.2,0.02048,0.02823,1400.5,0,NA,NA,0.295
SMR2.2,SMR,Pull test,0,271537.988,3798404.308,363.837,P,0.67,NA,0.556,0.00817,0.01462,366.4,1,NA,NA,0.07
SMR2.3,SMR,Pull test,0,271538.436,3798404.145,363.831,P,0.66,NA,0.55,0.01115,0.01988,320.2,1,NA,NA,0.092
SMR2.4,SMR,Pull test,0,271538.569,3798403.183,363.816,P,0.64,NA,0.61,0.00945,0.03480,838.7,0,NA,NA,0.26
SMR2.5,SMR,Pull test,0.2,271540.345,3798403.318,363.854,P,0.67,NA,1.16,0.02455,0.09578,2155.0,1,NA,NA,0.556
SMR2.6,SMR,Pull test,0.2,271541.431,3798402.519,363.871,P,0.7,NA,1.11,0.03057,0.08363,815.4,1,NA,NA,0.399
SMR2.7,SMR,Pull test,0.2,271543.126,3798402.067,363.832,P,0.64,NA,0.799,0.03406,0.03480,550.9,1,0.01146,0.04,0.475
SMR2.8,SMR,Pull test,0.2,271544.005,3798402.32,363.775,P,0.58,NA,1.45,0.02561,0.09045,1071.9,1,NA,NA,0.39
SMR2.9,SMR,Pull test,0.2,271544.486,3798401.899,363.786,P,0.59,NA,1.55,0.0348,0.12304,1337.5,1,NA,NA,0.545
SMR2.10,SMR,Pull test,0.2,271545.281,3798401.029,363.805,P,0.61,NA,1.05,0.01823,0.06014,1040.5,0,NA,NA,0.38
SMR2.11,SMR,Pull test,0.2,271545.764,3798400.814,363.81,P,0.6,NA,0.69,0.01299,0.01410,244.4,1,NA,NA,0.525
SMR2.12,SMR,Pull test,0,271545.623,3798400.127,363.884,P,0.67,NA,0.61,0.00925,0.01199,904.2,1,NA,NA,0.262
SMR2.13,SMR,Pull test,0,271547.932,3798399.933,363.828,P,0.61,NA,1.025,0.01062,0.01531,1052.5,1,NA,NA,0.295
SMR2.14,SMR,Pull test,0,271548.601,3798398.858,363.891,P,0.68,NA,0.4,0.00365,0.00381,244.3,1,NA,NA,0.273
SMR2.15,SMR,Pull test,0,271549.715,3798398.946,363.846,P,0.62,NA,0.52,0.00371,0.00510,197.7,1,NA,NA,0.04
SMR2.16,SMR,Pull test,0,271549.927,3798398.809,363.841,P,0.62,NA,0.72,0.00415,0.00988,165.4,1,NA,NA,0.125
SMR2.21,SMR,Pull test,0,271551.757,3798398.011,363.812,T,0.58,NA,0.55,0.01412,0.01839,313.2,1,0.00310,0.2,0.25
SMR2.23,SMR,Pull test,0,271554.213,3798401.579,363.738,T,0.5,NA,0.52,0.00946,0.01840,412.0,1,NA,NA,0.101
SMR2.24,SMR,Pull test,0,271554.236,3798400.914,363.741,T,0.5,NA,1,0.00813,0.00553,326.2,1,NA,NA,0.31
SMR3.3,SMR,Pull test,0,271615.058,3798427.379,363.881,T,0.47,NA,0.801,0.00989,0.01517,350.6,1,NA,NA,0.245
SMR3.4,SMR,Pull test,0,271615.244,3798427.42,363.898,T,0.5,NA,0.428,0.00726,0.00924,216.9,1,NA,NA,0.22
SMR3.5,SMR,Pull test,0,271615.295,3798427.342,363.891,T,0.49,NA,0.59,0.0056,0.00596,208.6,1,NA,NA,0
SMR3.7,SMR,Pull test,0,271615.136,3798426.842,363.862,T,0.44,NA,0.565,0.0066,0.00683,182.7,1,NA,NA,0.098
SMR3.9,SMR,Pull test,0,271616.374,3798425.272,363.882,T,0.45,NA,0.52,0.00452,0.00660,266.5,1,NA,NA,0.19
SMR3.10,SMR,Pull test,0,271617.059,3798424.999,363.896,T,0.46,NA,0.61,0.00805,0.00917,321.2,1,NA,NA,0
SMR3.11,SMR,Pull test,0,271617.869,3798424.627,363.864,T,0.42,NA,1.13,0.00917,0.03728,888.9,1,NA,NA,0.375
SMR3.12,SMR,Pull test,0,271618.165,3798425.404,363.869,T,0.45,NA,0.89,0.01446,0.03209,876.1,0,NA,NA,0.4
SMR3.15,SMR,Pull test,0,271618.195,3798424.171,363.849,T,0.4,NA,0.65,0.0032,0.00277,201.7,1,NA,NA,0.95
SMR3.16,SMR,Pull test,0,271618.405,3798423.987,363.853,T,0.41,NA,1.16,0.00726,0.00952,682.8,0,NA,NA,0.11
SMR3.17,SMR,Pull test,0,271620.301,3798424.124,363.791,T,0.36,NA,0.34,0.00702,0.00200,102.3,1,NA,NA,0.12
SMR3.18,SMR,Pull test,0,271620.268,3798424.36,363.783,T,0.35,NA,0.52,0.00614,0.00365,772.0,1,NA,NA,0.12
SMR3.19,SMR,Pull test,0,271620.588,3798424.325,363.799,T,0.36,NA,0.895,0.01179,0.01074,416.5,1,NA,NA,0.14
SMR3.20,SMR,Excavated,0,271623.456,3798422.437,363.82,T,0.36,NA,1,0.01715,0.04258,NA,NA,0.01972,0.29,0.55
SMR3.21,SMR,Excavated,0,NA,NA,NA,T,NA,NA,0.71,0.01019,0.01440,NA,NA,0.01960,0.12,0.8
SMR3.22,SMR,Excavated,0,NA,NA,NA,T,NA,NA,0.36,0.00631,0.00450,NA,NA,0.00313,0.03,0.48
SMR3.23,SMR,Pull test,0,NA,NA,NA,T,NA,NA,0.46,0.01015,0.00534,NA,NA,0.00716,0.12,0.57
SMR3.24,SMR,Pull test,0.3,271619.948,3798424.281,363.837,P,0.4,NA,1.5,0.01514,0.06662,431.4,0,0.01087,0.09,0.52
SMR3.25,SMR,Pull test,0.3,271619.073,3798424.668,363.821,P,0.39,NA,1.23,0.01411,0.05960,415.2,0,NA,NA,0.49
SMR3.27,SMR,Pull test,0,271617.055,3798425.479,363.923,P,0.49,NA,0.415,0.00494,0.00788,271.0,1,NA,NA,0.11
SMR3.28,SMR,Pull test,0.3,271617.303,3798425.774,363.842,P,0.4,NA,0.655,0.0096,0.02034,147.2,1,NA,NA,0.3
SMR3.29,SMR,Pull test,0,271616.855,3798426.27,363.848,P,0.44,NA,0.83,0.01835,0.06770,877.4,0,NA,NA,0.245
SMR3.30,SMR,Pull test,0,271616.21,3798426.428,363.844,P,0.43,NA,1.22,0.01476,0.05060,922.1,0,NA,NA,0.29
SMR3.31,SMR,Pull test,0,271617.461,3798427.037,363.793,P,0.39,NA,1.175,0.01171,0.04410,785.1,1,NA,NA,0.245
SMR3.32,SMR,Pull test,0,271616.866,3798428.061,363.741,P,0.37,NA,0.737,0.01216,0.03480,650.2,1,NA,NA,0.11
SMR3.33,SMR,Pull test,0.3,271616.298,3798427.553,363.866,P,0.47,NA,1.065,0.01179,0.05820,675.1,1,NA,NA,0.435
SMR3.34,SMR,Pull test,0,271615.48,3798427.278,363.895,P,0.5,NA,0.465,0.01115,0.01839,265.8,1,NA,NA,0.165
SMR3.35,SMR,Pull test,0,271615.506,3798426.898,363.859,P,0.46,NA,0.54,0.00618,0.01189,243.8,0,NA,NA,0.125
SMR3.36,SMR,Pull test,0,271614.979,3798428.75,363.874,P,0.5,NA,0.675,0.02724,0.05687,1057.0,1,NA,NA,0
SMR3.37,SMR,Pull test,0,271613.6,3798428.439,363.847,P,0.45,NA,0.5,0.00902,0.02149,585.7,1,0.00575,0.16,0.41
SMR3.38,SMR,Pull test,0,271613.503,3798428.416,363.847,P,0.45,NA,0.42,0.00668,0.01396,549.1,1,NA,NA,0.375
SMR3.39,SMR,Pull test,0.3,271615.024,3798429.987,363.782,P,0.42,NA,0.93,0.01465,0.03648,96.8,0,0.00773,0.15,0.29
SMR3.40,SMR,Pull test,0.3,271614.816,3798430.078,363.808,P,0.45,NA,1.34,0.01798,0.11707,133.0,1,NA,NA,0.17
SMR3.41,SMR,Pull test,0.3,271637.346,3798404.133,363.969,T,0.4,NA,0.621,0.00861,0.00826,126.7,1,0.00574,0.15,0.53
SMR3.42,SMR,Pull test,0.3,271637.566,3798403.904,363.978,T,0.41,NA,0.5,0.0164,0.00563,121.4,1,0.00506,0.16,0.4
SMR3.43,SMR,Pull test,0.3,271637.603,3798403.748,363.995,T,0.43,NA,0.755,0.00413,0.00545,116.6,1,0.00375,0.19,0.395
SMR3.44,SMR,Pull test,0.3,271638.058,3798404.157,364.015,T,0.44,NA,0.66,0.0224,0.03327,316.9,0,0.01947,0.06,0.85
SMR3.45,SMR,Pull test,0.3,271638.124,3798404.235,363.999,T,0.42,NA,0.49,0.01127,0.01982,123.5,0,NA,NA,0.455
SMR3.47,SMR,Pull test,0.2,271639.433,3798404.311,364.021,T,0.44,NA,0.94,0.0052,0.00909,470.7,1,0.00581,0.16,0.485
SMR3.48,SMR,Pull test,0.2,271639.601,3798403.583,364.034,T,0.45,NA,0.91,0.00433,0.00466,365.1,1,NA,NA,0.375
SMR3.49,SMR,Pull test,0.2,271640.105,3798403.2,364.03,T,0.44,NA,0.92,0.00555,0.00674,114.1,1,NA,NA,0.295
SMR3.50,SMR,Pull test,0.2,271640.964,3798402.501,363.984,T,0.38,NA,0.83,0.01851,0.01335,921.1,1,NA,NA,0.475
SMR3.51,SMR,Pull test,0.2,271638.791,3798403.763,364.013,T,0.44,NA,0.395,0.00364,0.00408,242.4,1,NA,NA,0.305
SMR3.53,SMR,Excavated,0,271615.967,3798426.884,363.848,P,0.45,NA,0.465,0.01852,0.03616,NA,NA,0.01272,0.15,0.64
SMR3.54,SMR,Excavated,0,271615.941,3798426.632,363.817,P,0.39,NA,0.7,0.01056,0.02566,NA,NA,0.01106,0.17,0.63
SMR3.55,SMR,Excavated,0,271615.358,3798426.547,363.865,P,0.44,NA,0.745,0.016,0.02786,NA,NA,0.00880,0.16,0.62
SMR3.56,SMR,Excavated,0,271615.303,3798426.681,363.885,P,0.46,NA,0.62,0.00566,0.01323,NA,NA,0.00531,0.08,0.645
SMR3.57,SMR,Excavated,0,NA,NA,NA,T,NA,NA,0.25,0.00207,0.00061,NA,NA,0.00170,0.07,0.42
SMR3.58,SMR,Excavated,0,NA,NA,NA,P,NA,NA,0.515,0.01337,0.02707,NA,NA,0.00953,0.13,0.615
SMR4.1,SMR,Pull test,0,271750.802,3798347.414,364.448,P,-0.02,NA,1.05,0.00729,0.03178,282.7,0,0.00556,0.16,0.308
SMR4.2,SMR,Pull test,0,271750.142,3798347.629,364.477,P,0.01,NA,1.25,0.01166,0.07014,743.1,0,0.01565,0.17,0.52
SMR4.3,SMR,Pull test,0,271750.369,3798347.332,364.492,P,0.03,NA,0.68,0.00891,0.03155,482.4,1,NA,NA,0.265
SMR4.4,SMR,Pull test,0,271750.791,3798347.008,364.439,P,-0.02,NA,0.699,0.00668,0.02306,294.1,1,NA,NA,0.165
SMR4.5,SMR,Pull test,0,271751.66,3798347.634,364.541,P,0.07,NA,0.45,0.00476,0.01157,274.6,1,NA,NA,0.185
SMR4.7,SMR,Pull test,0,271751.691,3798346.857,364.47,P,0,NA,0.865,0.01251,0.06071,519.1,1,0.00560,0.1,0.35
SMR4.8,SMR,Pull test,0,271751.885,3798346.871,364.452,P,-0.02,NA,0.935,0.00941,0.04401,548.0,1,0.00639,0.13,0.298
SMR4.9,SMR,Pull test,0.2,271752.317,3798346.404,364.501,P,0.02,NA,0.83,0.00656,0.01203,250.7,1,NA,NA,0.36
SMR4.10,SMR,Pull test,0.2,271753.149,3798347.599,364.517,P,0.04,NA,1.509,0.01277,0.08939,371.6,0,0.01808,0.15,0.455
SMR4.11,SMR,Pull test,0,271750.251,3798346.464,364.473,T,0.01,NA,1.085,0.01181,0.01154,617.6,1,NA,NA,0.39
SMR4.12,SMR,Pull test,0,271750.463,3798346.61,364.468,T,0.01,NA,0.875,0.00855,0.00829,456.5,1,0.00510,0.12,0.34
SMR4.13,SMR,Pull test,0,271748.753,3798346.707,364.425,T,-0.02,NA,0.88,0.00532,0.00556,315.8,1,NA,NA,0.39
SMR4.14,SMR,Pull test,0,271749.194,3798346.733,364.483,T,0.03,NA,0.96,0.00612,0.00977,408.8,0,NA,NA,0.34
SMR4.15,SMR,Pull test,0.2,271752.303,3798346.771,364.49,T,0.01,NA,0.565,0.00399,0.00399,419.6,1,0.00385,0.11,0.33
SMR4.16,SMR,Pull test,0.2,271752.782,3798347.438,364.49,T,0.01,NA,0.525,0.00644,0.00690,87.3,1,NA,NA,0.34
SMR4.17,SMR,Pull test,0.2,271752.936,3798346.596,364.54,T,0.06,NA,0.44,0.00605,0.00435,99.0,1,NA,NA,0.2
SMR4.18,SMR,Pull test,0,271753.313,3798346.414,364.499,T,0.01,NA,0.74,0.01041,0.00911,300.6,1,NA,NA,0.255
SMR4.19,SMR,Pull test,0,271752.741,3798345.432,364.465,T,-0.01,NA,0.845,0.00369,0.00578,249.3,1,NA,NA,0.295
S62.1,BR,Pull test,0.1,252639.718,283988.423,963.711,P,0.81,0.04,0.225,0.00414,0.00378,105.5,1,NA,NA,0.19
S62.2,BR,Pull test,0.2,252640.053,283988.38,963.687,P,0.79,0.04,0.205,0.00711,0.00929,46.4,1,NA,NA,0.285
S62.3,BR,Pull test,0.3,252639.182,283987.922,963.747,P,0.85,0.04,0.225,0.00592,0.00769,28.3,1,NA,NA,0.305
S62.4,BR,Pull test,0.1,252640.203,283986.388,963.725,P,0.83,0.04,0.62,0.01378,0.05689,732.0,1,NA,NA,0.33
S62.5,BR,Pull test,0.2,252641.321,283986.145,963.698,P,0.8,0.04,0.55,0.01,0.04085,422.2,1,NA,NA,0.185
S62.6,BR,Pull test,0.3,252639.413,283985.733,963.685,P,0.79,0.04,0.54,0.0166,0.05403,186.7,1,NA,NA,0.382
S62.7,BR,Pull test,0.2,252644.4,283965.994,963.63,P,0.73,0.04,1.15,0.02837,0.23660,NA,1,NA,NA,0.43
S62.8,BR,Pull test,0.1,252645.398,283966.726,963.582,P,0.68,0.04,0.915,0.02713,0.12750,1256.9,1,NA,NA,0.85
S62.9,BR,Pull test,0.3,252645.098,283967.768,963.633,P,0.73,0.04,0.88,0.0227,0.16020,915.9,0,NA,NA,1.3
S62.10,BR,Pull test,0.1,252644.685,283967.032,963.665,P,0.77,0.04,0.555,0.00944,0.02375,399.2,1,NA,NA,0.208
S62.11,BR,Pull test,0.2,252643.086,283965.088,963.742,P,0.84,0.04,0.69,0.01545,0.06426,215.2,1,NA,NA,0.3
S62.12,BR,Pull test,0.3,252642.887,283966.549,963.725,P,0.83,0.04,0.585,0.0116,0.04630,47.8,1,NA,NA,0.35
S60.1,BR,Pull test,0.1,252655.118,283945.408,963.817,P,0.9,0.03,0.24,0.00724,0.00916,141.9,1,NA,NA,0.185
S60.2,BR,Pull test,0.2,252654.582,283946.924,963.863,P,0.95,0.03,0.335,0.00743,0.01425,109.6,1,NA,NA,0.235
S60.3,BR,Pull test,0.3,252654.709,283947.828,963.895,P,0.98,0.03,0.45,0.01057,0.02820,132.2,1,NA,NA,0.395
S60.4,BR,Pull test,0.3,252655.873,283946.788,963.902,P,0.99,0.03,0.88,0.01949,0.21440,467.3,1,0.01091,0.28,0.32
S60.5,BR,Pull test,0.2,252655.687,283949.533,963.956,P,1.04,0.03,0.81,0.0237,0.20910,919.6,0,NA,NA,0.405
S60.6,BR,Pull test,0.1,252654.434,283950.458,963.926,P,1.01,0.03,0.78,0.0168,0.10870,676.8,0,NA,NA,0.255
S60.7,BR,Pull test,0.1,252653.392,283949.329,963.835,P,0.92,0.03,0.295,0.00499,0.00539,111.1,1,NA,NA,0.14
S60.8,BR,Pull test,0.2,252653.393,283949.798,963.831,P,0.91,0.03,0.51,0.0091,0.02519,987.6,1,NA,NA,0.27
S60.9,BR,Pull test,0.3,252653.458,283950.899,963.904,P,0.99,0.03,0.28,0.00537,0.00726,15.8,0,0.00218,0.07,0.3
S60.10,BR,Pull test,0.1,252652.838,283954.314,963.916,P,1,0.03,0.56,0.01275,0.02590,301.1,1,NA,NA,0.275
S60.11,BR,Pull test,0.2,252654.307,283954.047,963.974,P,1.06,0.03,0.38,0.0069,0.00721,61.9,1,NA,NA,0.24
S60.12,BR,Pull test,0.3,252655.104,283954.986,963.982,P,1.07,0.03,0.48,0.00695,0.01667,43.1,1,NA,NA,0.355
S16.1,BR,Pull test,0.1,252689.212,283938.798,963.585,P,0.69,0.01,0.15,0.00298,0.00182,23.9,0,NA,NA,0.21
S16.2,BR,Pull test,0.2,252688.981,283938.325,963.643,P,0.74,0.01,0.15,0.00299,0.00284,7.7,0,NA,NA,0.21
S16.3,BR,Pull test,0.3,252688.696,283938.293,963.622,P,0.72,0.01,0.2,0.00414,0.00406,8.4,0,0.00169,0.12,0.38
S16.4,BR,Pull test,0.1,252689.785,283937.586,963.497,P,0.6,0.01,0.5,0.01058,0.02167,363.4,1,NA,NA,0.235
S16.5,BR,Pull test,0.2,252690.283,283937.578,963.47,P,0.57,0.01,0.4,0.00871,0.01596,208.6,0,NA,NA,0.24
S16.6,BR,Pull test,0.3,252690.492,283938.684,963.476,P,0.58,0.01,0.55,0.0103,0.02440,68.6,1,NA,NA,0.355
S16.7,BR,Pull test,0.1,252687.573,283942.437,963.692,P,0.79,0.01,0.2,0.0035,0.00257,30.3,1,NA,NA,0.14
S16.8,BR,Pull test,0.2,252687.461,283942.77,963.707,P,0.81,0.01,0.2,0.00537,0.00387,41.2,1,NA,NA,0.22
S16.9,BR,Pull test,0.3,252688.576,283942.26,963.621,P,0.72,0.01,0.35,0.00575,0.00808,24.8,1,NA,NA,0.255
S16.10,BR,Pull test,0.1,252688.932,283944.466,963.596,P,0.7,0.01,0.5,0.01533,0.03890,442.4,1,NA,NA,0.275
S16.11,BR,Pull test,0.2,252690.697,283944.053,963.396,P,0.5,0.01,0.45,0.0103,0.01970,105.0,1,NA,NA,0.25
S16.12,BR,Pull test,0.3,252689.504,283945.085,963.514,P,0.61,0.01,0.45,0.0155,0.03480,202.1,0,NA,NA,0.38
S12.1,BR,Pull test,0.1,252677.28,284007.858,963.222,P,0.5,0.09,0.15,0.00486,0.00310,69.1,1,NA,NA,0.195
S12.2,BR,Pull test,0.2,252677.599,284007.867,963.207,P,0.48,0.09,0.15,0.00396,0.00216,24.8,1,NA,NA,0.235
S12.3,BR,Pull test,0.3,252677.224,284009.046,963.198,P,0.47,0.09,0.14,0.00271,0.00178,11.9,1,0.00115,0.03,0.255
S12.4,BR,Pull test,0.1,252676.735,284008.479,963.238,P,0.51,0.09,0.35,0.01013,0.01320,139.9,1,NA,NA,0.265
S12.5,BR,Pull test,0.2,252677.115,284008.618,963.237,P,0.51,0.09,0.44,0.0051,0.00903,96.0,1,NA,NA,0.255
S12.6,BR,Pull test,0.3,252678.129,284009.408,963.185,P,0.46,0.09,0.41,0.00378,0.00690,38.5,1,0.00294,0.06,0.32
S12.7,BR,Pull test,0.1,252676.137,284009.219,963.253,S,0.53,0.09,0.85,0.00605,0.04460,218.0,0,NA,NA,0.31
S12.8,BR,Pull test,0.2,252677.906,284009.208,963.185,S,0.46,0.09,0.55,0.00682,0.01250,54.4,1,NA,NA,0.25
S12.9,BR,Pull test,0.3,252678.485,284009.428,963.163,S,0.44,0.09,0.35,0.00481,0.01120,20.8,0,NA,NA,0.265
S12.10,BR,Pull test,0.1,252674.349,284013.801,963.251,P,0.52,0.09,0.13,0.0025,NA,NA,NA,NA,NA,NA
S12.11,BR,Pull test,0.2,252674.205,284013.122,963.23,P,0.5,0.09,0.17,0.00507,0.00679,73.5,0,NA,NA,0.325
S12.12,BR,Pull test,0.3,252673.804,284013.852,963.235,P,0.51,0.09,0.19,0.00584,0.00789,37.8,1,NA,NA,0.36
S12.13,BR,Pull test,0.1,252676.423,284013.618,963.261,P,0.53,0.09,0.31,0.00749,0.01638,230.3,0,NA,NA,0.285
S12.14,BR,Pull test,0.2,252676.021,284014.845,963.235,P,0.51,0.09,0.39,0.00743,0.01753,77.6,0,NA,NA,0.35
S12.16,BR,Pull test,0.3,252674.964,284014.954,963.269,P,0.54,0.09,0.22,0.0036,0.01125,42.5,0,NA,NA,0.44
S11.1,BR,Pull test,0.1,252671.013,284023.161,963.235,P,0.53,0.04,0.17,0.0043,0.00874,57.6,0,NA,NA,0.165
S11.2,BR,Pull test,0.2,252670.526,284023.291,963.213,P,0.51,0.04,0.26,0.00459,0.00301,23.5,0,NA,NA,0.205
S11.3,BR,Pull test,0.3,252670.319,284022.761,963.196,P,0.5,0.04,0.13,0.00389,0.00170,0.0,0,0.00072,0.13,0.029
S11.4,BR,Pull test,0.1,252672.147,284022.89,963.259,P,0.56,0.04,0.34,0.0061,0.01380,289.0,1,NA,NA,0.225
S11.5,BR,Pull test,0.2,252672.749,284023.49,963.28,P,0.58,0.04,0.33,0.00878,0.00889,77.5,0,NA,NA,0.23
S11.6,BR,Pull test,0.3,252672.493,284022.415,963.253,P,0.55,0.04,0.25,0.00519,0.00809,88.5,0,NA,NA,0.25
S11.7,BR,Pull test,0.1,252673.017,284025.625,963.238,P,0.54,0.04,0.4,0.00814,0.02500,294.9,0,NA,NA,0.11
S11.8,BR,Pull test,0.2,252672.041,284025.437,963.222,P,0.52,0.04,0.38,0.00641,0.01955,96.4,1,NA,NA,0.14
S11.9,BR,Pull test,0.3,252673.827,284025.797,963.254,P,0.55,0.04,0.22,0.00653,0.01188,64.8,1,NA,NA,0.335
S11.12,BR,Pull test,0.3,252674.404,284022.621,963.284,P,0.58,0.04,0.18,0.00354,0.00287,34.4,1,NA,NA,0.055
S29.1,BR,Pull test,0.1,252673.742,283802.135,964.025,P,1.08,NA,0.75,0.01312,0.07800,1013.8,1,NA,NA,0.26
S29.2,BR,Pull test,0.2,252674.249,283802.047,964.026,P,1.08,NA,0.56,0.01178,0.06360,395.3,1,NA,NA,0.315
S29.3,BR,Pull test,0.3,252673.27,283802.26,964.053,P,1.11,NA,0.61,0.01007,0.04590,193.4,1,NA,NA,0.37
S29.4,BR,Pull test,0.4,252672.286,283801.166,964.064,P,1.12,NA,0.79,0.01612,0.08715,419.9,1,NA,NA,0.395
S29.5,BR,Pull test,0.1,252672.598,283800.299,964.046,P,1.1,NA,0.915,0.01231,0.07380,380.5,0,NA,NA,0.425
S29.6,BR,Pull test,0.2,252673.111,283800.398,964.036,P,1.09,NA,0.77,0.01464,0.07480,622.6,1,NA,NA,0.355
S29.7,BR,Pull test,0.3,252673.89,283799.953,964.03,P,1.09,NA,0.67,0.01134,0.07490,406.8,1,NA,NA,0.32
S29.8,BR,Pull test,0.4,252672.509,283799.922,964.059,P,1.12,NA,0.85,0.01436,0.06056,399.8,1,NA,NA,0.43
S19.1,BR,Pull test,0.1,252690.905,283894.849,963.741,P,0.8,0.08,0.285,0.01184,0.00948,80.5,1,NA,NA,0.19
S19.2,BR,Pull test,0.2,252690.722,283894.915,963.734,P,0.79,0.08,0.35,0.01306,0.01310,275.7,1,NA,NA,0.335
S19.3,BR,Pull test,0.3,252689.743,283894.343,963.812,P,0.87,0.08,0.29,0.009,0.01180,41.3,1,0.00586,0.22,0.365
S19.4,BR,Pull test,0.4,252690.171,283894.778,963.806,P,0.86,0.08,0.28,0.00628,0.00960,43.0,1,NA,NA,0.38
S19.5,BR,Pull test,0.1,252688.764,283894.769,963.798,P,0.86,0.08,0.58,0.0166,0.04407,966.8,1,NA,NA,0.21
S19.6,BR,Pull test,0.2,252688.571,283895.516,963.794,P,0.85,0.08,0.64,0.01988,0.05548,446.0,0,NA,NA,0.46
S19.7,BR,Pull test,0.3,252688.133,283895.249,963.789,P,0.85,0.08,0.59,0.01758,0.06900,224.8,0,NA,NA,0.45
S19.8,BR,Pull test,0.4,252687.062,283894.717,963.78,P,0.84,0.08,0.62,0.02218,0.12110,584.8,0,NA,NA,0.45
S19.9,BR,Pull test,0.1,252689.967,283850.539,964.061,P,1.12,0.08,0.26,0.00624,0.00646,169.3,1,NA,NA,0.16
S19.11,BR,Pull test,0.3,252689.685,283850.01,964.088,P,1.15,0.08,0.24,0.01298,0.01286,51.5,1,NA,NA,0.34
