"","month_year","water_year","month","season","position","Annual","n_days"
"223",2014-11-01,2014,11,"non_critical","LOB","days_per_month",30
"224",2014-11-01,2014,11,"non_critical","MC","days_per_month",2
"225",2014-11-01,2014,11,"non_critical","ROB","days_per_month",30
"226",2015-11-01,2015,11,"non_critical","LOB","days_per_month",30
"227",2015-11-01,2015,11,"non_critical","MC","days_per_month",0
"228",2015-11-01,2015,11,"non_critical","ROB","days_per_month",30
"229",2016-11-01,2016,11,"non_critical","LOB","days_per_month",30
"230",2016-11-01,2016,11,"non_critical","MC","days_per_month",1
"231",2016-11-01,2016,11,"non_critical","ROB","days_per_month",30
"232",2010-12-01,2010,12,"critical","LOB","days_per_month",31
"233",2010-12-01,2010,12,"critical","MC","days_per_month",29
"234",2010-12-01,2010,12,"critical","ROB","days_per_month",31
"235",2011-12-01,2011,12,"critical","LOB","days_per_month",31
"236",2011-12-01,2011,12,"critical","MC","days_per_month",30
"237",2011-12-01,2011,12,"critical","ROB","days_per_month",31
"238",2012-12-01,2012,12,"critical","LOB","days_per_month",31
"239",2012-12-01,2012,12,"critical","MC","days_per_month",31
"240",2012-12-01,2012,12,"critical","ROB","days_per_month",31
"241",2013-12-01,2013,12,"critical","LOB","days_per_month",31
"242",2013-12-01,2013,12,"critical","MC","days_per_month",7
"243",2013-12-01,2013,12,"critical","ROB","days_per_month",31
"244",2014-12-01,2014,12,"critical","LOB","days_per_month",31
"245",2014-12-01,2014,12,"critical","MC","days_per_month",14
"246",2014-12-01,2014,12,"critical","ROB","days_per_month",31
"247",2015-12-01,2015,12,"critical","LOB","days_per_month",31
"248",2015-12-01,2015,12,"critical","MC","days_per_month",1
"249",2015-12-01,2015,12,"critical","ROB","days_per_month",31
"250",2016-12-01,2016,12,"critical","LOB","days_per_month",31
"251",2016-12-01,2016,12,"critical","MC","days_per_month",5
"252",2016-12-01,2016,12,"critical","ROB","days_per_month",31
